Words,Context
bigenital,"bigenital. Describes a person who wishes to have genitalia of both binary sexes. Not exclusive to nonbinary people. Synonyms​: aphrodisian, salmacian [18]"
binarism,"binarism. Discrimination against ethnic groups and cultures that recognize nonbinary genders, based on the sexist belief that there are only two genders ( nonbinary erasure )."
binary gender,binary gender. A gender identity that fits neatly into only one of the two genders in a gender binary system.
binder,"binder. An undergarment that a person can wear to make their chest look flat. Some transgender men and some nonbinary people wear these to flatten their breast tissue, if they haven't had top surgery ."
biological boy,"biological boy. A less correct term for an AMAB person, which see."
biological girl,"biological girl. A less correct term for an AFAB person, which see."
bisexual,bisexual. 1. (Obsolete) Intersex. [6] 2. A sexual orientation in which a person feels attraction to more than one gender (this can include nonbinary genders). [19] [20]
boi,"boi. From ""boy."" A gender identity that is masculine and queer. Beyond that, the specific definition varies greatly across the LGBT+ community. [21]"
bottom,bottom. A person who takes a submissive role in sexual activity.
bottom surgery,"bottom surgery. In the transgender community, euphemism for any gender-validating surgery on a transgender person's reproductive organs or genitals."
boydyke,boydyke. An AFAB person with a masculine gender expression. [22]
boy mode,"boy mode. In transgender and nonbinary communities, this means using clothes and other gender cues in order to be read as a male. Example usage: ""I had to go to the interview in boy mode"" or ""Today was my first day going boy mode in public."""
butch,"butch. A masculine gender identity or expression, which some see as a nonbinary gender."
CAFAB,CAFAB. See CAGAB.
CAGAB,"CAGAB. Coercively assigned gender at birth. Most people are either coercively assigned female at birth (CAFAB) or coercively assigned male at birth (CAMAB). Unlike AGAB and GAAB, CAGAB emphasizes that the gender was assigned against the person's will, and implies that the person was abused as a child."
,17 T
CAMAB,CAMAB. See CAGAB.
cisgender,"cisgender. From Latin cis ""on the same side of"" + ""gender,"" ""coined in 1995 by a transsexual man named Carl Buijs."" [23] A person who isn't transgender and isn't nonbinary. The Latin prefix cis (""on the same side of"") is the opposite of the Latin prefix trans (""to the other side of"")."
cissexism,"cissexism. A form of sexism, specifically, a way of thought in which only cisgender people are seen as normal or right. Cissexism is harmful to all kinds of transgender people, including nonbinary people."
closet,"closet. To be ""in the closet"" means that a person is keeping their gender identity and/or sexual orientation a secret."
come out,"come out. ""To recognize one's sexual orientation, gender identity, or sex identity, and to be open about it with oneself and with others."" [24]"
cross-dreamer,cross-dreamer. Coined by cross-dreamer Jack Molay. [25] Someone who feels sexually aroused by the thought of being a different gender than the one they were assigned at birth. They may or may not cross-dress or consider themselves transgender. [26]
cross-dresser,"cross-dresser. ""Someone who wears clothes associated with another gender part of the time."" [27] A cross-dresser may consider themself to be cisgender or transgender."
demigender,"demigender. An umbrella term for nonbinary gender identities that have a partial connection to a certain gender, such as demiboy , demifluid , demiflux , demigirl , and deminonbinary. [28] [29]"
demiromantic,demiromantic. A romantic orientation in which a person feels romantic attraction only after getting to know someone. [15]
demisexual,demisexual. An orientation in which a person feels sexual attraction only after forming a connection with them. [30]
DGAB,DGAB. Short for Designated Gender At Birth. Most people are either Designated Female At Birth (DFAB) or Designated Male At Birth (DMAB).
drag,"drag. A gender expression that is exaggerated for theatrical performance. Although usually cross-gender, and associated with the gay and lesbian communities, drag of any kind can be done by a person of any gender identity or sexual orientation. Drag kings make a performance out of masculinity. Drag queens make a performance out of femininity."
DSD,"DSD (short for Disorder of Sex Development or Difference of Sex Development ) [31] [32] ​Any kind of intersex condition. Note: ""DSD"" terminology is controversial in the intersex community. [33]"
Disorder of Sex Development,"dyadic. A person whose body is not intersex. Synonyms: perisex, endosex."
Difference of Sex Development,"dyadism. The sexist belief that humans have only two sexes, either female or male, resulting in discrimination against intersex people."
dyadic,"dyadic. A person whose body is not intersex. Synonyms: perisex, endosex."
dyadism,"dyadism. The sexist belief that humans have only two sexes, either female or male, resulting in discrimination against intersex people."
e,"e , em, eir, eirs, eirself. A set of gender-neutral pronouns, made popular by writer Michael Spivak in the 1980s. [34] There are many similar sets with small differences."
em eir eirs eirself,effeminate. A feminine man. Some see this as an offensive word. [25]
effeminate,effeminate. A feminine man. Some see this as an offensive word. [25]
emasculation,emasculation. A surgery to take away the penis and testicles.
emoji pronouns,"emoji pronouns. A type of pronoun set used in online communication. [35] For example ""🌸/🌸s/🌸self"" or ""🔥/🔥s/🔥s/🔥self""."
enban,"enban. Created in the ""askanonbinary"" blog in 2014, based on the word ""enby"", which see. A proper noun for a nonbinary adult person. A nonbinary equivalent of ""man"" or ""woman"". Another blogger, coderqueer, then offered the spelling variant ""enbian."" [36]"
enbian,"enbian. 1. An enban, which see. 2. Of or pertaining to nonbinary gender. 3. An orientation word for nonbinary people attracted to other nonbinary people, see Romantic and sexual orientation#Enbian ."
enbies,enbies. See enby .
enby,"enby. Created in 2013 by a nonbinary person named vector (revolutionator). [37] Based on an initialism of ""nonbinary,"" ""NB"". A proper noun for a person with a nonbinary gender identity. This is the nonbinary gender equivalent of the proper nouns ""boy"" or ""girl."" Plural: enbies."
enbyfan,"enbyfan. equivalent of ""fanboy"" or ""fangirl"""
enbyfriend,"enbyfriend. Coined by Tumblr user Pansycub in 2013, based on the word ""enby,"" which see. A nonbinary gender romantic partner. The nonbinary gender equivalent of a boyfriend or girlfriend. [38]"
endosex,"endosex. Adjective meaning ""not intersex "". [39] [40] Synonyms: dyadic, perisex."
en femme,"en femme. In cross-dressing communities, this means dressed as a woman. [41]"
en homme,"en homme. In cross-dressing communities, this means dressed as a man."
eonism,"eonism. Term for an AMAB person dressing as a woman. Coined by sexologist Havelock Ellis, derived from the name of a historical figure, Chevalier d'Éon. [42]"
eunuch,eunuch. A person who was assigned male at birth and had some or all of their private parts removed. Some transgender people think of themselves as eunuchs. Some think of eunuch as a nonbinary gender identity. [43]
exorsexism,"exorsexism. A term for discrimination against nonbinary people , whether intentional or not. [44] Coined in 2016 by tumblr user vergess. [45] Also called enbyphobia. [46]"
FAAB,FAAB. See GAAB.
Female,"Female. Anyone with a female gender identity is female. Regardless of what gender she was assigned at birth, or what kind of body parts she has or wants to have, if she identifies as female, then she is a woman or girl."
female to male transsexual (FTM),"female to male transsexual (FTM). A trans man. This term was coined by trans man Lou Sullivan, ""in response to the custom of medical doctors and psychologists labeling us 'female transsexuals.'"" [47] FTM can also mean nonbinary people who transition in a way similar to trans men, and describe themselves as being on the FTM spectrum. Abbreviated FTM, F2M."
femme,"en femme. In cross-dressing communities, this means dressed as a woman. [41]"
 fem,"femme , fem. A queer feminine gender identity or expression, which some see as a nonbinary gender."
femboy,"femboy. A boy or man whose gender expression is feminine may be called a femboy or may self-identify as such. [48] Some femboys undergo hormone therapy to appear more feminine and/or less masculine, while still identifying as cisgender (though some end up later identifying as transgender). [49] In the 2021 Gender Census , 223 respondents (0.50% of total respondents) wrote that they were femboys. [50] Caution: ""Femboy"" should not be used against transfeminine people, as it is considered misgendering."
FFS,FFS. Acronym for facial feminization surgery .
fluid gender,fluid gender. A gender identity that changes.
FT*,FT*. Female to unspecified transgender. This term includes all transgender people who were assigned female at birth.
FTF,"FTF. Female to female. A term used by some trans women/ transfeminine people because they feel ""MTF"" wrongly implies they were formerly male, or because they dislike having to note their sex assigned at birth. [51] People using the label FTF might not identify as transgender. [52] [53]"
FTN,FTN. Female-to- neuter (or neutrois ) transsexual (or transgender). [11]
GAAB,"GAAB. Gender Assigned At Birth. Most people are either Assigned Female At Birth (FAAB) or Assigned Male At Birth (MAAB). See also: AGAB, CAGAB, DGAB."
gaff,"gaff. An undergarment that helps with tucking, which see."
GAS,GAS. Gender affirming surgery /surgeries. [54] [55]
gatekeeper,"gatekeeper system. In the transgender community, this is slang for the system of health providers that decide whether to allow a transgender person to get gender-validating health care. [1]"
 system,GCS. Gender confirming surgery .
GCS,GCS. Gender confirming surgery .
girl mode,"girl mode. In transgender and nonbinary communities, this means using clothes and other gender cues in order to be read as a female. Example usage: ""I had to go to the interview in girl mode"" or ""Today was my first day going girl mode in public."""
gender binary,"gender binary. A model of gender that classifies all people into one of two genders, female or male."
gender dissonance,"gender dissonance. Gender dysphoria, which see."
gender diverse,"gender diverse / gender diversity. Alternate term for ""nonbinary"". [56] [57]"
gender diversity,"gender dysphoria. A clinical term. In transgender people, emotionally painful discontent about some aspect of one's assigned gender. The aspect in question may be social gender dysphoria, body dysphoria, or other specific details, such as voice dysphoria. Some prefer the less clinical terms ""gender incongruence"" or ""gender dissonance."""
gender dysphoria,"gender dysphoria. A clinical term. In transgender people, emotionally painful discontent about some aspect of one's assigned gender. The aspect in question may be social gender dysphoria, body dysphoria, or other specific details, such as voice dysphoria. Some prefer the less clinical terms ""gender incongruence"" or ""gender dissonance."""
gender expansive,"gender expansive. ""An umbrella term used for individuals who broaden their own culture's commonly held definitions of gender, including expectations for its expression, identities, roles, and/or other perceived gender norms. Gender expansive individuals include those who identify as transgender, as well as anyone else whose gender in some way is seen to be stretching the surrounding society's notion of gender."" [58]"
gender expression,"gender expression. ""The way in which a person expresses their gender identity through clothing, behavior, posture, mannerisms, speech patterns, activities and more."" [24]"
genderfluid,"genderfluid , or gender-fluid. A gender identity that often changes, so that a person may feel one day like a boy, and another day like a girl. Fluid gender."
genderflux,"genderflux. A gender identity that often changes in intensity, so that a person may feel one day as though they have almost no gender, or none at all, and another day they feel very gendered. ""Whereas genderfluidity is a shift between different genders, genderflux is more like varying intensity."" [59]"
genderfuck,genderfuck. A gender expression that intentionally mixes feminine gender markers with masculine.
gender hoarder,"gender hoarder. ""When your gender is fluid or flux, but you can’t find just a few terms to describe what your fluctuating gender is, so you 'hoard' gender terms that fit you."" [60]"
gender identity,"gender identity. ""An individual's internal sense of gender, which may or may not be the same as one’s gender assigned at birth."" [24] Most people identify as the gender that they were assigned at birth. They are described as ' cisgender '."
Gender Identity Disorder,"Gender Identity Disorder (GID). ""The medical diagnosis in the American Psychiatric Association’s Diagnostics and Statistics Manual IV (DSM4) used to describe a person who experiences significant gender dysphoria (lack of identification with one’s sex and/or gender assigned at birth)."" [27]"
 (GID),"genderism. ""The system of belief that there are only two genders (men and women) and that gender is inherently tied to one’s sex assigned at birth. It holds cisgender people as superior to transgender people, and punishes or excludes those who don't conform to society’s expectations of gender."" [27] See cissexism and nonbinary erasure. Note: when used by TERFs , ""genderist"" is a disparaging term for a person who ""believes in gender ideology"" (i.e. respects gender as self-identified, not based on biology). [61]"
genderism,"genderism. ""The system of belief that there are only two genders (men and women) and that gender is inherently tied to one’s sex assigned at birth. It holds cisgender people as superior to transgender people, and punishes or excludes those who don't conform to society’s expectations of gender."" [27] See cissexism and nonbinary erasure. Note: when used by TERFs , ""genderist"" is a disparaging term for a person who ""believes in gender ideology"" (i.e. respects gender as self-identified, not based on biology). [61]"
gender non-conformity,"gender non-conformity (GNC). Regardless of gender identity or whether one is cisgender or transgender, resistance to conforming to a female or male gender expression."
 (GNC),genderpunk. Another term for genderfuck. [62]
genderpunk,genderpunk. Another term for genderfuck. [62]
gender presentation,gender presentation. All the signs of a person's gender that other people can see. [63]
genderqueer,genderqueer. An umbrella term covering non-normative gender identity and gender expression. Genderqueer can also be a specific identity.
gender role,gender role. A society's norms for how to divide labor by gender.
gender variant,"gender variant , gender variance. Gender expression that is different from Western cultural norms. Can mean gender non-conforming and/or transgender, as well as some non-Western gender roles. [65]"
 gender variance,"genetic boy. A less correct term for an AMAB person, which see."
genetic boy,"genetic boy. A less correct term for an AMAB person, which see."
genetic girl,"genetic girl. A less correct term for an AFAB person, which see."
gray-asexual,"gray-asexual, or grey-romantic. A romantic or sexual orientation that partly lacks attraction to people of any gender. [15]"
grey-romantic,"gray-asexual, or grey-romantic. A romantic or sexual orientation that partly lacks attraction to people of any gender. [15]"
graygender,"graygender , or greygender. Coined by Invernom. A nonbinary gender identity that is between agender and some other gender, so that it is difficult to place, and not fully the absence or presence of a gender. [66] Compare demigender."
greygender,"graygender , or greygender. Coined by Invernom. A nonbinary gender identity that is between agender and some other gender, so that it is difficult to place, and not fully the absence or presence of a gender. [66] Compare demigender."
GRS,GRS. Gender reassignment surgery .
gynephilic,gynephilic. A romantic or sexual orientation in which a person feels attraction to women or femininity. [11]
hermaphrodite,"hermaphrodite. An old word for a person with an intersex condition. Some see this word as offensive, and therefore only intersex people can reclaim this word. Non-intersex people shouldn't use this word."
he-she,he-she or heshe. 1. An offensive word for a transgender woman. Only trans women can reclaim it. Other people shouldn't use it. 2. Several sets of pronouns use heshe in the nominative form.
heshe,he-she or heshe. 1. An offensive word for a transgender woman. Only trans women can reclaim it. Other people shouldn't use it. 2. Several sets of pronouns use heshe in the nominative form.
heteroromantic,heteroromantic. A romantic orientation in which a person feels romantically attracted to people of a different gender than their own. [15]
heterosexism,"heterosexism or heteronormativity. A sexist way of thought in which only heterosexuality is seen as normal, resulting in discrimination against people of other sexual orientations. [67]"
heteronormativity,"heterosexism or heteronormativity. A sexist way of thought in which only heterosexuality is seen as normal, resulting in discrimination against people of other sexual orientations. [67]"
hir,"hir. Many sets of gender-neutral pronouns use this word in the accusative or possessive forms. Some such sets are heesh , hi , se , s/he , sie , and ze ."
homoromantic,homoromantic. A romantic orientation in which a person feels romantically attracted to people of the same gender as themself. [15]
Ind,"Ind. Coined by Torin Unrealisk in 2014. [68] A gender-neutral title, short for ""individual."""
intergender,"intergender. A certain nonbinary gender identity in between female and male. In the 1990s, this was an identity label that any person could use, even if they were born with non-intersex (dyadic) bodies, [69] but others say it should only be used by people who were born with intersex bodies. [70]"
intersex,"DSD (short for Disorder of Sex Development or Difference of Sex Development ) [31] [32] ​Any kind of intersex condition. Note: ""DSD"" terminology is controversial in the intersex community. [33]"
institutional oppression,"intersex. 1. (obsolete) Homosexual. [6] 2. Intersex people have some aspect of their sex that is inconsistent with conventional ideas of male and female sex, in their primary or secondary sexual characteristics, hormones, or chromosomes."
internalized oppression,"institutional oppression. ""Arrangement of a society used to benefit one group at the expense of another through the use of language, media education, religion, economics, etc."" [24]"
inversion,"internalized oppression. ""The process by which an oppressed person comes to believe, accept, or live out the inaccurate stereotypes and misinformation about their group."" [27]"
invisible minority,"inversion. An early clinical term for ""gender identity and role disturbance."" Early psychologists used the word ""invert"" for gay, lesbian, and transgender people, all alike. [71]"
Latin@,"invisible minority. ""A group whose minority status is not always immediately visible, such as some disabled people and LGBT+IQ people. This lack of visibility may make organizing for rights difficult."" [27]"
Latinx,"Latin@ or Latinx. A gender-inclusive form of ""Latino""/""Latina"" (meaning a person with Latin American heritage). This word is controversial within Latino groups [72] , thus should be used with caution."
lesbian,"lesbian. A person who identifies as a woman (or woman-aligned nonbinary person), who is romantically or sexually attracted to women (or women and women-aligned nonbinary people)."
LGBT,"LGBT. Lesbian, gay, bisexual, and transgender. Can be extended to LGBT+, LGBTQIA, etc. to explicitly show inclusion of other groups."
LGR,LGR. Legal Gender Recognition .
MAAB,MAAB. See GAAB.
male,"female to male transsexual (FTM). A trans man. This term was coined by trans man Lou Sullivan, ""in response to the custom of medical doctors and psychologists labeling us 'female transsexuals.'"" [47] FTM can also mean nonbinary people who transition in a way similar to trans men, and describe themselves as being on the FTM spectrum. Abbreviated FTM, F2M."
male to female transsexual (MTF),"male. Anyone with a male gender identity is male. Regardless of what gender he was assigned at birth, or what kind of body parts he has or wants to have, if he identifies as male, then he is a man or boy."
maverique,male to female transsexual (MTF). A trans woman.
misgender,"maverique. A specific nonbinary gender identity ""characterized by autonomy and inner conviction regarding a sense of self that is entirely independent of male/masculinity, female/femininity or anything which derives from the two while still being neither without gender nor of a neutral gender."" [75]"
monosexual,"misgender. To address someone in a way that contradicts their gender identity. This can be accidental, but if intentional, it can be an example of discrimination against transgender people (cissexism). [76]"
MSM,monosexual. A catchall term for sexual orientations that are attracted to only one gender (homosexual or heterosexual).
MT*,MSM. Men who have sex with men. This term means that they don't necessarily identify as gay or bisexual.
MTF,MT*. Male to unspecified transgender. This term includes all transgender people who were assigned male at birth.
MTM,MTF. Male-to-female transsexual (or transgender). A trans woman.
MTN,"MTM. Male to male. A term used by some trans men/ transmasculine people because they feel ""FTM"" wrongly implies they were formerly female, or because they dislike having to note their sex assigned at birth. [51] [77] People using the label MTM might not identify as transgender. [52]"
multigender,MTN. Male-to- neuter (or neutrois ) transsexual (or transgender). [11]
multiromantic,"multigender people have more than one gender identity, either at the same time, or sometimes changing between them."
Mx,multiromantic. See polyromantic.
NB,"Mx. Coined in 1982 or earlier. [78] Pronounced mux, mix, mixture, or mixter. A gender-neutral title."
nb,"NB or nb. An abbreviation for nonbinary. In some contexts this abbreviation means ""non-Black"", so the alternate abbreviations nbi / NBI / NBi or NBY / nby can be used to avoid confusion when talking about nonbinary people. [79]"
nbi,"neopronouns. Any pronoun that is not traditionally part of the language. In English, neopronouns are any third-person pronouns other than he/him, she/her, they/them, or it/its."
NBY,"neutrois. Coined by a neutrois person named H. A. Burnham in 1995. [80] Having one nonbinary gender identity that is neutral. Not female, not male, and not a mix. Some neutrois people are transsexual, experience gender dysphoria, and want to get a physical transition. [81]"
nby,"non-binary gender , nonbinary gender , or nonbinary. An umbrella term for all who don't identify as just female or male. Though there are many kinds of nonbinary gender identities, some people identify as ""nonbinary"" only."
neopronouns,"neopronouns. Any pronoun that is not traditionally part of the language. In English, neopronouns are any third-person pronouns other than he/him, she/her, they/them, or it/its."
neutrois,"neutrois. Coined by a neutrois person named H. A. Burnham in 1995. [80] Having one nonbinary gender identity that is neutral. Not female, not male, and not a mix. Some neutrois people are transsexual, experience gender dysphoria, and want to get a physical transition. [81]"
non-binary gender,"non-binary gender , nonbinary gender , or nonbinary. An umbrella term for all who don't identify as just female or male. Though there are many kinds of nonbinary gender identities, some people identify as ""nonbinary"" only."
nonbinary gender,"non-op. A trans person who hasn't gotten surgery, and doesn't desire surgery in the future."
nonbinary,"non-binary gender , nonbinary gender , or nonbinary. An umbrella term for all who don't identify as just female or male. Though there are many kinds of nonbinary gender identities, some people identify as ""nonbinary"" only."
non-op,"non-op. A trans person who hasn't gotten surgery, and doesn't desire surgery in the future."
nounself pronouns,"nounself pronouns. In 2014, a community of nonbinary people on the social blogging site Tumblr.com came up with the idea of adapting any noun of one's choosing into a third-person pronoun, to create a wide variety of very personal and descriptive pronouns. The pronoun sets can be themed around concepts that have nothing to do with gender, such as nature, technology, or abstract concepts."
orchiectomy,orchiectomy. A kind of genital surgery.
out,"come out. ""To recognize one's sexual orientation, gender identity, or sex identity, and to be open about it with oneself and with others."" [24]"
packer,"out. If someone is said to be out, that means they are open about their LGBT+ identity. If someone is said to have been outed, that means that their LGBT+ identity was made public by someone else, against their will. [82]"
pangender,packer. An artificial soft phallus. Nonbinary and/or transgender people on the transmasculine spectrum may wear these in their clothes as part of making a more male body shape.
panromantic,"pangender. A nonbinary gender identity that is made of a mix of all genders [83]. Or a fluid gender that could potentially be any gender. However, ""all"" and ""any"" don't include genders that belong only to certain cultures or ethnic groups to which the person isn't entitled."
pansexual,panromantic The romantic orientation of being attracted to all genders.
passing,pansexual The sexual orientation of being attracted to all genders.
passing woman,"passing. When a person is seen by others as their true gender, not as the gender they were assigned at birth. Some transgender people dislike this word, saying it gives the idea that they are being dishonest, when they are trying to be seen as they really are. [84]"
perisex,"passing woman. A historical term that describes cisgender women who presented themselves as men ""in order to have access to a career or way of living that was available only to men."" [85]"
polyamory,"perisex. Adjective meaning ""not intersex "". [86] [87] Synonyms: endosex, dyadic."
polygender,"polyamory. A long-term romantic and/or sexual relationship between more than two people at the same time, all of whom consent to the arrangement. [15]"
polyromantic,"polygender. A gender identity in which a person has more than one gender identity, at the same time, or a mix. [83] [15]"
polysexual,post-op. A trans person who has gotten surgery.
post-op,post-op. A trans person who has gotten surgery.
person perceived as a man (PPM),"person perceived as a man (PPM) and person perceived as a woman (PPW). Created by Rabbit KM in 2015. People perceived as men are usually seen and treated as men, but who don't identify as male. For example, masculine nonbinary people, and some trans women. Vice versa for people perceived as women. This term is useful for people who often get misgendered. [88]"
person perceived as a woman (PPW),pre-op. A trans person who hasn't gotten surgery yet.
pre-op,pre-op. A trans person who hasn't gotten surgery yet.
presentation,gender presentation. All the signs of a person's gender that other people can see. [63]
pronouns,"emoji pronouns. A type of pronoun set used in online communication. [35] For example ""🌸/🌸s/🌸self"" or ""🔥/🔥s/🔥s/🔥self""."
pumping,"presentation. ""The totality of one’s appearance, including attire, voice, behavior, body language, etc."" [22]"
queer,"pronouns. Words that stand in for nouns. In a trans or nonbinary context this usually refers to singular third-person pronouns such as he/him/his, she/her/hers, they/them/theirs, ze/hir/hirs, etc. Pronouns are part of a person's gender expression ."
questioning,"pumping. A body modification to the phallus, which may be part of the physical transition of trans people in the female-to-male spectrum."
QUILTBAG,"queer. A reclaimed slur for the LGBT+ community, and an umbrella term for identities that are not heterosexual and/or not cisgender. Some people use this as the name for their nonbinary gender identity."
same-gender loving (SGL),questioning. The process of figuring out one's sexual orientation and/or gender identity.
secondary sex characteristics,"QUILTBAG. Queer, undecided, intersex, lesbian, transgender, bisexual, asexual, gay."
sex reassignment surgery,same-gender loving (SGL). Romantic and/or sexual attraction to the same gender. Originated in Black communities. [1]
she-male,"secondary sex characteristics. ""Physical characteristics that emerge with the onset of puberty, including but not limited to: facial and body hair growth, muscle development, voice changes, breast development, and the ability to reproduce."" [22]"
singular they,"sex reassignment surgery. ""A term used by some medical professionals to refer to a group of surgical options that alter a person's sex to match their sex identity."" [27] Generally this refers to the category of procedures colloquially called bottom surgery , but might also be used for other surgeries sometimes."
sissy,she-male. An offensive word for a transgender woman. This word should be reclaimed only by trans women. Other people shouldn't use it.
SOFFA,"singular they. A gender-neutral pronoun that has been standard English for over a thousand years. During the last two centuries, grammarians dispute whether it is good grammar, or if a different word should be used as a gender-neutral pronoun instead."
SRS,"sissy. From ""sister."" An offensive word for a feminine boy. Also, a trans-feminine sexual identity. [89]"
stealth,"SOFFA. Short for Significant Others, Friends, Family, and Allies. This means people who aren't LGBT+, but who care about and help LGBT+ people. [1]"
stone,"SRS. Sex Reassignment Surgery. Generally this refers to the category of procedures colloquially called bottom surgery , but might also be used for other surgeries sometimes."
stud,"stealth. In the transgender community, this means that a transgender person is living so that other people see them as the gender they want to be, while keeping it a secret that they are transgender. [90] Transgender women and transgender can be closeted, out, or stealth. In a culture that doesn't recognize nonbinary genders, it is impossible to be a stealth nonbinary person, because that society has no nonbinary role to enter. In that situation, the only two options are to be closeted (you make sure nobody knows you're nonbinary) or out (you make sure everybody knows you're nonbinary, which isn't stealth)."
STP,stone. A certain queer sexual identity. Specific kinds include stone butch and stone femme. Some see these as nonbinary genders.
T,"stud. ""An African-American and/or Latina masculine lesbian."" [82]"
TG,"STP. Acronym for ""stand-to-pee (device)"". Designed to be used by AFAB people to allow them to urinate standing up, and thus may be of interest to transmasculine individuals. The device may resemble a cis man's penis or it may take some other form. It may also be called by the slang term ""pisser"". [91]"
TGNB,"T. In the transgender community, the hormone testosterone."
theyby,"TG. Short for ""transgender""."
theybies,"TGNB. Short for ""transgender and nonbinary""."
third gender,theyby (plural theybies ). A child who is being raised without assigned gender. See the page Children for more information.
TMA,"third gender. In anthropology, an umbrella term for ethnic non-cisgender/non-heterosexual gender roles, which may be analogous to transgender and sometimes nonbinary genders. Some consider this phrase offensive, and people should reclaim it only with caution."
TME,"TMA. Stands for "" transmisogyny affected"". Used in social justice discussions as a descriptor for people who experience transmisogyny. [92]"
tomboy,"TME. Stands for "" transmisogyny exempt"". Used in social justice discussions as a descriptor for people who do not experience transmisogyny. [92]"
top surgery,tomboy. A girl or woman whose gender expression is masculine may be called a tomboy or may self-identify as such.
tranny,"top surgery. In the transgender community, euphemism for any gender-validating surgery on a transgender person's breasts/chest."
trans,tranny. An offensive word for a transgender woman. This word should be reclaimed only by trans women. Other people shouldn't use it.
trans*,trans. Short for transgender or transsexual.
transactivism,"trans*. The asterisk is meant to include both transsexual and transgender, and/or to indicate the inclusion of nonbinary identities. [93] [94] Considered offensive by some trans people. [95]"
Trans-Exclusionary Radical Feminists (TERFs),transactivism. The movement for rights for transgender people. [82]
transfeminine,"Trans-Exclusionary Radical Feminists (TERFs). A movement of cisgender women who fight against transgender rights, because they believe that transgender people are dangerous. [96] They don't call themselves TERFs, but they do call themselves gender critical or gender abolitionists."
trans-feminism,"transfeminine. A transgender person who transitions in a feminine direction, but who doesn't necessarily identify as female. They may have a nonbinary gender identity."
transfeminism,"trans-feminism , or transfeminism. The creation of this word in the late 1990s is credited to Diana Courvant and Emi Koyama. [97] A feminist movement that takes into account transgender experience and rights."
transgender,transgender. An umbrella term for those with gender identities that don't match the genders they were assigned at birth.
transition,"transition. The process that individuals typically experiencing gender dysphoria go through to reach their desired social gender role, and/or physicality. There is no one definition of transition, as the term is based on the unique requirements of each individual."
trans man,trans man. The correct term for a transgender person who has a male gender identity.
transmasculine,"transmasculine. A transgender person who transitions in a masculine direction, but who doesn't necessarily identify as male. They may have a nonbinary gender identity."
transsexual,"female to male transsexual (FTM). A trans man. This term was coined by trans man Lou Sullivan, ""in response to the custom of medical doctors and psychologists labeling us 'female transsexuals.'"" [47] FTM can also mean nonbinary people who transition in a way similar to trans men, and describe themselves as being on the FTM spectrum. Abbreviated FTM, F2M."
transexual,"transsexual , or transexual. A kind of transgender person who wants to physically transition to a different gender than they were assigned at birth."
TS,TS. Short for transsexual.
tucking,"tucking. A method that a person can use to hide their penis and testicles, to create a more feminine or androgynous body shape."
trans-misogyny,trans-misogyny. Discrimination and hate crimes against transgender women.
