,Country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Continent
44,Denmark,2020,7.514631271362305,10.909995079040527,0.9473713636398315,73.0,0.9379318356513977,0.05229302495718002,0.2138417512178421,0.8176636695861816,0.2271018922328949,Europe
45,Cameroon,2020,5.241077899932861,8.174633979797363,0.7200466394424438,54.29999923706055,0.6745091676712036,0.049266181886196136,0.8365172147750854,0.6296146512031555,0.3864789605140686,Africa
46,Czech Republic,2020,6.897091388702393,10.530134201049805,0.9640536904335022,71.30000305175781,0.9064220190048218,-0.1270223706960678,0.8836995959281921,0.8320576548576355,0.29044169187545776,
47,Cyprus,2020,6.259810447692871,,0.8055593967437744,74.0999984741211,0.7627823352813721,,0.8162317276000977,0.7588630318641663,0.28352245688438416,Europe
48,Sweden,2020,7.314341068267822,10.83790397644043,0.9355823397636414,72.80000305175781,0.9511815905570984,0.09081844985485077,0.20344014465808868,0.7663760781288147,0.2219332903623581,Europe
49,Canada,2020,7.024904727935791,10.729514122009277,0.930610716342926,74.0,0.8868921995162964,0.049636855721473694,0.43401235342025757,0.7959487438201904,0.30667373538017273,North America
50,South Korea,2020,5.79269552230835,10.64807415008545,0.8079522848129272,74.19999694824219,0.711480438709259,-0.1058678925037384,0.6646940112113953,0.6395556926727295,0.2470596581697464,
51,Switzerland,2020,7.508435249328613,11.080892562866211,0.9463164806365967,74.69999694824219,0.917343258857727,-0.06350205838680267,0.2803671360015869,0.7687047123908997,0.19322898983955383,Europe
52,Thailand,2020,5.884544372558594,9.769243240356445,0.8667026162147522,67.5999984741211,0.8404632806777954,0.2730555832386017,0.9183400273323059,0.7832698822021484,0.32616856694221497,Asia
53,Taiwan Province of China,2020,6.751067638397217,,0.9008325338363647,,0.7988347411155701,,0.7105674147605896,0.8453933596611023,0.08273695409297943,
54,Colombia,2020,5.709175109863281,9.495491027832031,0.7970352172851562,68.30000305175781,0.8401861190795898,-0.0846422091126442,0.807964026927948,0.7951326966285706,0.3401585817337036,South America
55,Tajikistan,2020,5.373398780822754,8.08035659790039,0.7897445559501648,64.69999694824219,,-0.04046706482768059,0.5497864484786987,0.7488976120948792,0.3441612720489502,Asia
56,Tanzania,2020,3.785684108734131,7.881270408630371,0.7398170828819275,58.5,0.83034348487854,0.29527199268341064,0.5206316709518433,0.6855331063270569,0.2711179256439209,Africa
57,China,2020,5.771064758300781,9.701754570007324,0.808334469795227,69.9000015258789,0.8911229968070984,-0.1032143384218216,,0.789345383644104,0.24491822719573975,Asia
58,Dominican Republic,2020,5.168409824371338,9.802446365356445,0.8061176538467407,66.4000015258789,0.8346429467201233,-0.1278340369462967,0.6361165642738342,0.7338669300079346,0.3139283061027527,North America
59,Cambodia,2020,4.3769850730896,8.36193561553955,0.7244226336479187,62.400001525878906,0.9630754590034485,0.052429765462875366,0.8630539774894714,0.8779535293579102,0.3898516297340393,Asia
60,Ghana,2020,5.319483280181885,8.589605331420898,0.6427033543586731,58.0,0.8237200379371643,0.19963206350803375,0.8470249176025391,0.7127659320831299,0.2527284324169159,Africa
61,Slovakia,2020,6.519098281860352,10.331512451171875,0.9541599750518799,69.5,0.7618966102600098,-0.07487351447343826,0.9005336761474609,0.7635828852653503,0.27444788813591003,Europe
62,Serbia,2020,6.04154634475708,9.788259506225586,0.8521018624305725,69.0,0.8434798717498779,0.14940130710601807,0.8244724869728088,0.6028461456298828,0.3575802743434906,Europe
63,Uganda,2020,4.640909671783447,7.684450149536133,0.8004611730575562,56.5,0.6874821186065674,0.14711755514144897,0.8775872588157654,0.698948860168457,0.42470666766166687,Africa
64,Germany,2020,7.3118977546691895,10.83349895477295,0.9050804972648621,72.80000305175781,0.8643560409545898,-0.06004804000258446,0.4240887761116028,0.7595943212509155,0.20592711865901947,Europe
65,Georgia,2020,5.123143196105957,9.569304466247559,0.7183459401130676,64.0999984741211,0.7643523812294006,-0.22112546861171722,0.5827347040176392,0.6108949184417725,0.2945120632648468,Europe
66,Brazil,2020,6.109717845916748,9.522140502929688,0.8308321237564087,66.80000305175781,0.7862350940704346,-0.05282001942396164,0.7287722229957581,0.6920238733291626,0.3891385495662689,South America
67,France,2020,6.714111804962158,10.643280029296875,0.9473540186882019,74.19999694824219,0.8233863115310669,-0.16896052658557892,0.5646405816078186,0.731813907623291,0.23095043003559113,Europe
68,Bulgaria,2020,5.597723007202148,9.990657806396484,0.9162423610687256,67.19999694824219,0.8182247877120972,-0.004322313703596592,0.9006329774856567,0.7058346271514893,0.22135105729103088,Europe
69,Finland,2020,7.889349937438965,10.750446319580078,0.9616207480430603,72.0999984741211,0.9624236822128296,-0.11553198844194412,0.16363589465618134,0.7442921996116638,0.19289757311344147,Europe
70,Ecuador,2020,5.354461669921875,9.243865013122559,0.8040085434913635,69.0999984741211,0.8285115361213684,-0.15709003806114197,0.8547804951667786,0.7899407148361206,0.4160279631614685,South America
71,Ethiopia,2020,4.549219608306885,7.710982799530029,0.8231375813484192,59.5,0.768694281578064,0.18849685788154602,0.7838224172592163,0.6693886518478394,0.25151434540748596,Africa
72,Slovenia,2020,6.462076187133789,10.477869987487793,0.9534375071525574,71.69999694824219,0.9584425687789917,-0.08135689049959183,0.7965574860572815,0.6099492311477661,0.3138525187969208,Europe
73,Estonia,2020,6.452563762664795,10.458588600158691,0.9577704668045044,69.0,0.9542005658149719,-0.08227915316820145,0.39783477783203125,0.8069238066673279,0.1876794993877411,Europe
74,El Salvador,2020,5.4619269371032715,9.018845558166504,0.6956243515014648,66.69999694824219,0.9239448308944702,-0.1264744997024536,0.5830363631248474,0.8389042019844055,0.32943978905677795,North America
75,Turkey,2020,4.861554145812988,10.219083786010742,0.8567302227020264,67.5999984741211,0.5103858709335327,-0.11088898777961731,0.7744171619415283,0.38429245352745056,0.4403873085975647,Asia
76,South Africa,2020,4.946800708770752,9.332463264465332,0.8910503387451172,57.29999923706055,0.7569462656974792,-0.014951311983168125,0.9124072194099426,0.8203377723693848,0.29427647590637207,Africa
77,Egypt,2020,4.4723968505859375,9.382726669311523,0.6727254986763,62.29999923706055,0.7695503234863281,-0.1123419776558876,,0.5989086627960205,0.442033588886261,Africa
78,Venezuela,2020,4.573829650878906,,0.8052242398262024,66.9000015258789,0.6118146181106567,,0.81131911277771,0.7223914265632629,0.396250456571579,South America
79,Chile,2020,6.1506428718566895,10.0201416015625,0.8884122967720032,70.0999984741211,0.7813835740089417,0.03299075737595558,0.8118188381195068,0.8146027326583862,0.3360286056995392,South America
80,Lithuania,2020,6.391378879547119,10.503606796264648,0.952544093132019,68.5,0.8240605592727661,-0.12178131192922592,0.829204797744751,0.6602295637130737,0.20191200077533722,Europe
81,Moldova,2020,5.811628818511963,9.462109565734863,0.8740617632865906,66.4000015258789,0.8590832352638245,-0.05827857926487923,0.9414389729499817,0.7272245287895203,0.2678360641002655,Europe
82,Netherlands,2020,7.504447937011719,10.900500297546387,0.9439561367034912,72.5,0.9345226287841797,0.15129804611206055,0.2806045114994049,0.7839906215667725,0.2465113252401352,Europe
83,Mongolia,2020,6.011364936828613,9.395559310913086,0.9177891612052917,62.70000076293945,0.7184910178184509,0.1413574516773224,0.8428276777267456,0.6364434957504272,0.25998303294181824,Asia
84,Mauritius,2020,6.015300273895264,9.972017288208008,0.8925659656524658,67.0,0.8425980806350708,-0.03669271990656853,0.771790087223053,0.7669844627380371,0.1384017914533615,Africa
85,Mexico,2020,5.964221000671387,9.78218936920166,0.7788162231445312,68.9000015258789,0.8733469843864441,-0.1193898618221283,0.778165876865387,0.8101091384887695,0.29155611991882324,North America
86,New Zealand,2020,7.257381916046143,10.600457191467285,0.9519907832145691,73.5999984741211,0.9181545972824097,0.1252596527338028,0.2827679514884949,0.8494150042533875,0.20854105055332184,Oceania
87,Namibia,2020,4.451010227203369,9.10413932800293,0.7405703067779541,57.099998474121094,0.6656819581985474,-0.10388018190860748,0.8103548288345337,0.6479195356369019,0.24754208326339722,Africa
88,Myanmar,2020,4.431364059448242,8.553914070129395,0.7957632541656494,59.599998474121094,0.8248707056045532,0.4702581763267517,0.6467021107673645,0.7997491955757141,0.2892182171344757,
89,Malta,2020,6.156822681427002,,0.9379202723503113,72.19999694824219,0.9306004643440247,,0.674626350402832,0.6014958620071411,0.41091322898864746,Europe
90,Zambia,2020,4.837992191314697,8.11658000946045,0.7668716311454773,56.29999923706055,0.7504224181175232,0.056029193103313446,0.8097497820854187,0.691082239151001,0.34452593326568604,Africa
91,Argentina,2020,5.900567054748535,9.850449562072754,0.8971038460731506,69.19999694824219,0.8233916163444519,-0.12235432863235474,0.8157804608345032,0.7635238766670227,0.34249693155288696,South America
92,Morocco,2020,4.80261754989624,8.870917320251465,0.5525200963020325,66.5,0.8189952373504639,-0.22857755422592163,0.8027402758598328,0.5871824026107788,0.2564311921596527,Africa
93,Albania,2020,5.364909648895264,9.497251510620117,0.7101150155067444,69.30000305175781,0.7536710500717163,0.006968025118112564,0.8913589715957642,0.6786612272262573,0.26506611704826355,Europe
94,Montenegro,2020,5.72216272354126,9.912668228149414,0.8871294856071472,68.9000015258789,0.8018550872802734,0.059815771877765656,0.8446871042251587,0.6032826900482178,0.41137781739234924,Europe
95,Guinea,2019,4.767684459686279,7.849340438842773,0.6551241874694824,55.5,0.691399097442627,0.09681724011898041,0.7555854916572571,0.6846469044685364,0.4733884334564209,Africa
96,Yemen,2019,4.19691276550293,,0.8700428009033203,57.5,0.6513082385063171,,0.7982282638549805,0.5428059101104736,0.2130432277917862,Asia
97,Guatemala,2019,6.2621750831604,9.063875198364258,0.774074375629425,65.0999984741211,0.9006763100624084,-0.06230298802256584,0.7725779414176941,0.859412670135498,0.3107892572879791,North America
98,Malaysia,2019,5.427954196929932,10.252403259277344,0.8424988389015198,67.19999694824219,0.9157786965370178,0.12332413345575333,0.7819439172744751,0.8341774940490723,0.17607168853282928,Asia
99,Rwanda,2019,3.2681522369384766,7.7080607414245605,0.48945823311805725,61.70000076293945,0.868999183177948,0.06406588107347488,0.16797089576721191,0.7360679507255554,0.4176676869392395,Africa
100,Sri Lanka,2019,4.21329927444458,9.478693962097168,0.8149391412734985,67.4000015258789,0.8242773413658142,0.051186613738536835,0.86334228515625,0.8163903951644897,0.3145427107810974,Asia
101,Malawi,2019,3.869123697280884,6.965763092041016,0.5489560961723328,58.29999923706055,0.7648642063140869,0.003596819471567869,0.680247962474823,0.5366970300674438,0.348162442445755,Africa
102,Nepal,2019,5.448724746704102,8.136457443237305,0.772273063659668,64.5999984741211,0.790347695350647,0.16697579622268677,0.7118424773216248,0.5357981324195862,0.35710030794143677,Asia
103,Swaziland,2019,4.396114826202393,9.069709777832031,0.759097695350647,51.27039337158203,0.5966824293136597,-0.19073791801929474,0.7235077619552612,0.7776272892951965,0.27959516644477844,Africa
104,Romania,2019,6.129942417144775,10.305913925170898,0.841905951499939,67.5,0.8475431799888611,-0.22142210602760315,0.9541307091712952,0.6974433660507202,0.24365922808647156,Europe
105,Senegal,2019,5.488736629486084,8.130020141601562,0.6876140832901001,60.0,0.7588417530059814,-0.01880391500890255,0.7956734299659729,0.7889730334281921,0.3319258391857147,Africa
106,Honduras,2019,5.930051326751709,8.653117179870605,0.7971483469009399,67.4000015258789,0.8461900353431702,0.06270892173051834,0.8149629235267639,0.8499549627304077,0.27888208627700806,North America
107,Mali,2019,4.987991809844971,7.752494812011719,0.7545580863952637,52.20000076293945,0.6704050898551941,-0.03785175830125809,0.846340000629425,0.7115226984024048,0.35776451230049133,Africa
108,Mauritania,2019,4.152619361877441,8.555842399597168,0.7981019616127014,57.29999923706055,0.6275051832199097,-0.10185665637254715,0.7428902983665466,0.6918314695358276,0.2597385048866272,Africa
109,Turkmenistan,2019,5.474299907684326,9.65118408203125,0.9815017580986023,62.599998474121094,0.8915268778800964,0.2848806381225586,,0.5099145174026489,0.18334324657917023,Asia
110,Burkina Faso,2019,4.7408928871154785,7.691488265991211,0.6831023693084717,54.400001525878906,0.6775468587875366,-0.004089894238859415,0.7293965816497803,0.6909258961677551,0.3647753894329071,
111,Algeria,2019,4.744627475738525,9.336946487426758,0.8032586574554443,66.0999984741211,0.3850834369659424,0.005086520221084356,0.740609347820282,0.5849443078041077,0.21519775688648224,Africa
112,Botswana,2019,3.4710848331451416,9.785069465637207,0.7736672163009644,59.599998474121094,0.8325426578521729,-0.23900093138217926,0.792079508304596,0.7117963433265686,0.2727217674255371,Africa
113,Sierra Leone,2019,3.4473814964294434,7.449131965637207,0.6107797622680664,52.400001525878906,0.7177695631980896,0.07405570149421692,0.8738614320755005,0.5133752226829529,0.43813446164131165,Africa
114,Mozambique,2019,4.932132720947266,7.154966831207275,0.742303729057312,55.20000076293945,0.8698102235794067,0.07274501770734787,0.6819004416465759,0.5872747302055359,0.384122759103775,Africa
115,Singapore,2019,6.378359794616699,11.485980033874512,0.9249183535575867,77.0999984741211,0.9380417466163635,0.027229677885770798,0.06961960345506668,0.7225980162620544,0.13806915283203125,Asia
116,Gambia,2019,5.1636271476745605,7.699349880218506,0.6938701272010803,55.29999923706055,0.6765952706336975,0.4101804792881012,0.7981081008911133,0.7728161811828613,0.40072327852249146,Africa
117,Gabon,2019,4.914393424987793,9.607087135314941,0.7630516886711121,60.20000076293945,0.736349880695343,-0.20251981914043427,0.8462542295455933,0.6927024126052856,0.4129609763622284,Africa
118,Indonesia,2019,5.346512794494629,9.376888275146484,0.8019180297851562,62.29999923706055,0.8658591508865356,0.5553480386734009,0.8607847690582275,0.8767140507698059,0.3017027974128723,Asia
119,Azerbaijan,2019,5.173389434814453,9.575250625610352,0.886756420135498,65.80000305175781,0.8542485237121582,-0.2141629159450531,0.4572606682777405,0.6425468325614929,0.16392025351524353,Europe
120,Chad,2019,4.250799179077148,7.364943981170654,0.6404520869255066,48.70000076293945,0.5372456908226013,0.05500093847513199,0.8322834968566895,0.5872111916542053,0.46006128191947937,Africa
121,Liberia,2019,5.121460914611816,7.263903617858887,0.7124737501144409,56.900001525878906,0.7058745622634888,0.050611626356840134,0.8284689784049988,0.635608971118927,0.3891325891017914,Africa
122,Libya,2019,5.330222129821777,9.627349853515625,0.826719343662262,62.29999923706055,0.7619643211364746,-0.07267285138368607,0.6864129900932312,0.7087408900260925,0.4007374346256256,Africa
123,Pakistan,2019,4.442717552185059,8.453290939331055,0.6172957420349121,58.900001525878906,0.6846755743026733,0.12372947484254837,0.775998055934906,0.5810673832893372,0.4242400825023651,Asia
124,Armenia,2019,5.488086700439453,9.521769523620605,0.7816038727760315,67.19999694824219,0.8443241119384766,-0.17236898839473724,0.583472728729248,0.5982378125190735,0.43046340346336365,Europe
125,Comoros,2019,4.608616352081299,8.033134460449219,0.6320129632949829,57.5,0.5382615327835083,0.0772530809044838,0.7622324824333191,0.7362217307090759,0.33616289496421814,Africa
126,Afghanistan,2019,2.375091791152954,7.6972479820251465,0.41997286677360535,52.400001525878906,0.3936561644077301,-0.10845886915922165,0.9238491058349609,0.35138705372810364,0.5024737119674683,Asia
127,Palestinian Territories,2019,4.482537269592285,,0.832550048828125,,0.653488278388977,,0.8292827606201172,0.6251764297485352,0.3996722996234894,
128,Nicaragua,2019,6.112545013427734,8.59546947479248,0.873863935470581,67.80000305175781,0.8826784491539001,0.029247265309095383,0.6219817399978638,0.835423469543457,0.33701297640800476,North America
129,Niger,2019,5.003544330596924,7.105849266052246,0.6769587397575378,54.0,0.8313618898391724,0.025959890335798264,0.7288551330566406,0.8159151673316956,0.3044382631778717,Africa
130,Lebanon,2019,4.024219512939453,9.596782684326172,0.8659685254096985,67.5999984741211,0.44700148701667786,-0.08108239620923996,0.890415608882904,0.32168975472450256,0.4944990277290344,Asia
131,Lesotho,2019,3.5117805004119873,7.925776958465576,0.7897053956985474,48.70000076293945,0.7163135409355164,-0.13053622841835022,0.9149514436721802,0.7348799109458923,0.27342551946640015,Africa
132,Uzbekistan,2019,6.154049396514893,8.853480339050293,0.9152759313583374,65.4000015258789,0.9702945351600647,0.3042975962162018,0.5111968517303467,0.8448085188865662,0.21974551677703857,Asia
133,North Cyprus,2019,5.466615200042725,,0.8032945394515991,,0.7927346229553223,,0.6400588750839233,0.49369287490844727,0.2964111268520355,
134,Kuwait,2019,6.106119632720947,10.816696166992188,0.8415197730064392,66.9000015258789,0.8672738075256348,-0.10416107624769211,,0.6953627467155457,0.3028763234615326,Asia
135,Congo (Brazzaville),2019,5.21262264251709,8.101092338562012,0.624768078327179,58.5,0.6864519715309143,-0.04605123773217201,0.740589439868927,0.6452539563179016,0.40504083037376404,
136,Peru,2019,5.9993815422058105,9.46093463897705,0.8090759515762329,68.4000015258789,0.8148059248924255,-0.1297357827425003,0.8736019134521484,0.820448100566864,0.3749854862689972,South America
137,Vietnam,2019,5.467451095581055,8.992330551147461,0.8475921154022217,68.0999984741211,0.9524691700935364,-0.12553076446056366,0.7878892421722412,0.7511599063873291,0.18561019003391266,Asia
138,Togo,2019,4.1794939041137695,7.375211238861084,0.5387021899223328,55.099998474121094,0.6174197793006897,0.06477482616901398,0.7366750240325928,0.5902292728424072,0.4438698887825012,Africa
139,Belarus,2019,5.821453094482422,9.860038757324219,0.9167404770851135,66.4000015258789,0.656933605670929,-0.18593330681324005,0.5459047555923462,0.5908505916595459,0.18982140719890594,Europe
140,Madagascar,2019,4.33908748626709,7.4062371253967285,0.7006101012229919,59.5,0.5495352149009705,-0.012468654662370682,0.7199826836585999,0.7231946587562561,0.3039596676826477,Africa
141,Costa Rica,2019,6.997618675231934,9.885446548461914,0.9060774445533752,71.5,0.9268301129341125,-0.14599433541297913,0.83562833070755,0.8483476042747498,0.3033272325992584,North America
142,Luxembourg,2019,7.40401554107666,11.648168563842773,0.9121045470237732,72.5999984741211,0.930321216583252,-0.04505761340260506,0.38959842920303345,0.7891863584518433,0.21163980662822723,Europe
143,Panama,2019,6.0859551429748535,10.356431007385254,0.8857213854789734,69.69999694824219,0.882961094379425,-0.1989849954843521,0.8688275218009949,0.877561628818512,0.2435666024684906,North America
144,Paraguay,2019,5.652625560760498,9.44814395904541,0.8924871683120728,65.9000015258789,0.8760526180267334,0.02811283804476261,0.8817861080169678,0.857724130153656,0.2751867175102234,South America
145,Jamaica,2019,6.309238910675049,9.186201095581055,0.8778144717216492,67.5,0.8906708359718323,-0.13679705560207367,0.8853300213813782,0.7520411014556885,0.1952841430902481,North America
146,Maldives,2018,5.197574615478516,9.8259859085083,0.9133150577545166,70.5999984741211,0.8547592759132385,0.0239978339523077,,,,Asia
147,Haiti,2018,3.6149280071258545,7.477138042449951,0.5379759073257446,55.70000076293945,0.5914683938026428,0.4215203523635864,0.7204447388648987,0.5841132998466492,0.3587200343608856,North America
148,Burundi,2018,3.775283098220825,6.635322093963623,0.48471522331237793,53.400001525878906,0.6463986039161682,-0.023876165971159935,0.5986076593399048,0.6664415001869202,0.3627665936946869,Africa
149,Congo (Kinshasa),2017,4.311033248901367,6.965845584869385,0.6696884036064148,52.900001525878906,0.704239547252655,0.06837817281484604,0.8091818690299988,0.5505259037017822,0.40426206588745117,
150,Central African Republic,2017,3.4758620262145996,6.816519260406494,0.31958913803100586,45.20000076293945,0.6452523469924927,0.07278610020875931,0.8895660042762756,0.6138651967048645,0.5993354916572571,Africa
151,Trinidad and Tobago,2017,6.191859722137451,10.182920455932617,0.9160290360450745,63.5,0.8591404557228088,0.014855396002531052,0.911336362361908,0.8464670777320862,0.24809880554676056,North America
152,South Sudan,2017,2.816622495651245,,0.556822657585144,51.0,0.4560110867023468,,0.7612696290016174,0.5856021642684937,0.5173637866973877,Africa
153,Somalia,2016,4.667941093444824,,0.5944165587425232,50.0,0.9173228144645691,,0.440801739692688,0.8914231657981873,0.19328223168849945,Africa
