,target,context
203,Cape Verde,Cape Verde has a lot of water.
204,Afghanistan,Afghanistan is in the middle east
206,Cape Verde,Cape Verde is home to many turtles
209,Ethiopia,Ethiopia is located in Africa.
211,Russian,Russian is a difficult language to learn as a second language.
212,Cape Verde,Cape Verde has been struggling economically.
217,Russian,I worked with a Russian once.
218,Afghanistan,The country of Afghanistan is one that is always in the news.
223,Afghanistan,Many people live in Afghanistan.
224,Ghanaian,Does anyone know anything about the Ghanaian people?
225,Russian,I have a Russian friend.
226,Hispanic,The Hispanic man owned a car.
230,Cameroon,Cameroon has people from Africa.
233,Cameroon,Most of Cameroon is covered in tropical rain forest.
235,Ghanaian,A Ghanaian family live in the apartment next to me.
236,Russian,My new roommate is Russian.
237,Crimean,She was Crimean woman.
239,Ethiopia,Those from Ethiopia are black.
241,Afghanistan,Afghanistan is a beautiful country
242,Ghanaian,The Ghanaian people speak a polyglot of languages.
243,Afghanistan,Afghanistan is far away
245,Ghanaian,The Ghanaian smelled bad
248,Ghanaian,The student is Ghanaian
250,Ethiopian,An Ethiopian is a person born in Ethiopia
251,Afghanistan,A person from Afghanistan is sometimes looked at in a judgmental way.
252,Afghanistan,The Soviet Union fought in Afghanistan.
253,Crimean,Crimean people have been persecuted
255,Ethiopian,The Ethiopian child played with the puzzle.
256,Hispanic,All of my boyfriend's family is Hispanic.
257,Ethiopia,Reggie is from Ethiopia.
258,Afghanistan,Afghanistan is in the middle east.
259,Ethiopian,I went to the Ethiopian restaurant with my best friend.
260,Cape Verde,Cape Verde is an island nation.
263,Hispanic,Hispanic people are hispanic.
265,Ethiopia,We went to Ethiopia to see the many tribes
266,Ethiopia,I had a college classmate from Ethiopia.
270,Ethiopia,She will visit Ethiopia for summer break.
276,Russian,The man on the plane next to me was Russian.
278,Russian,The Russian man moved in next door.
280,Ethiopia,I met an individual from Ethiopia.
282,Ethiopian,An Ethiopian man was walking around college campus.
283,Cameroon,Cameroon has sandy beaches
288,Ethiopian,Ethiopian people have diverse culture.
289,Russian,The Russian man came into the restaurant.
292,Russian,The neighbor lady is a russian.
295,Crimean,Crimean people live near the Black Sea
296,Crimean,I had lunch with a Crimean person.
297,Cape Verde,My friend recently went to visit Cape Verde.
298,Ghanaian,The Ghanaian women are waiting for their packages.
299,Ethiopian,The Ethiopian refugees recently moved in next door.
301,Cape Verde,Cape Verde is a beautiful place
306,Ghanaian,Ghanaian food is very bland.
307,Ethiopia,"Ethiopia is located in Africa, by South Sudan."
308,Ethiopian,The Ethiopian people are proud to be from there
311,Ghanaian,My friend is Ghanaian.
316,Cape Verde,A man from Cape Verde moved to the U.S.
322,Ethiopia,Ethiopia is an African country
323,Cape Verde,My friend wants to visit Cape Verde.
324,Hispanic,That new teacher is Hispanic.
327,Ethiopia,I once met a man from Ethiopia in an elevator.
330,Cameroon,I wonder what the primary export of Cameroon is.
331,Ethiopian,"Ethiopian people write in Ge'ez script, one of the oldest scripts still around."
333,Hispanic,I live next to an Hispanic family.
335,Cape Verde,Cape Verde is just around the bend.
337,Ethiopian,I love Ethiopian food.
339,Ethiopian,The Ethiopian had a jug.
340,Russian,Our new boss is Russian.
342,Ethiopia,Ethiopia is on the Northeast of Africa.
344,Crimean,The Crimean Peninsula has a coastline on the North Sea.
346,Ethiopian,Shane and Rachel are taking use to the new Ethiopian restaurant for dinner on Saturday.
348,Ghanaian,Ghanaian people are resilient.
349,Crimean,We visited the Crimean peninsula last month.
350,Hispanic,The Hispanic men were all getting off of work.
351,Afghanistan,He lives in Afghanistan.
352,Hispanic,The Hispanic man would only visit bodegas
353,Hispanic,His Hispanic background was a source of pride.
354,Hispanic,Hispanic people are Latin based.
356,Cameroon,Cameroon is a country in Central Africa.
359,Russian,The Russian set down his glass
360,Crimean,Yesterday i argued against the the crimean War.
362,Crimean,Many Crimeans immigrated to New York
364,Ethiopia,I had a friend that took a trip to Ethiopia.
367,Ghanaian,"They are Ghanaian, can't you see."
369,Ghanaian,My Ghanaian friend is sick today.
370,Russian,A Russian man went on a hike in the cold.
371,Ethiopia,Ethiopia is in the continent africa
372,Ethiopia,Ethiopia had a famine.
373,Ethiopian,I used Ethiopian airlines to travel to Africa
374,Crimean,The Crimean moved to a new city.
381,Ethiopia,From a geographical standpoint Ethiopia is a very interesting place.
382,Russian,Russian intelligence is like america's cia
384,Ghanaian,The Ghanaian is strong and comes from a good culture.
385,Hispanic,Hispanic people speak Spanish.
388,Cameroon,The Cameroon man was very hungry
389,Crimean,The Crimean War happened years ago
390,Ethiopian,I met a person who was an Ethiopian while I was at college.
391,Ghanaian,My kid's babysitter is Ghanaian.
394,Cape Verde,Cape Verde is an island
397,Afghanistan,I took a vacation to Afghanistan.
399,Cape Verde,Cape Verde had was full of people and buildings
401,Ethiopia,Ethiopia is in the Horn of Africa.
405,Ethiopian,The Ethiopian man went to the river.
407,Afghanistan,He was deployed to Afghanistan.
409,Cape Verde,Cape Verde is a lovely island holiday location.
410,Cameroon,Cameroon is a country in Africa.
412,Ethiopia,Ethiopia produces a lot of good athletes.
414,Ethiopia,Ethiopia is the birthplace for coffee
415,Ethiopian,My father is part Ethiopian.
417,Hispanic,Hispanic people live in a variety of places.
420,Cape Verde,Cape Verde is by Africa.
422,Ethiopia,My sister went on a trip to Ethiopia.
423,Cape Verde,He was originally from Cape Verde.
424,Ghanaian,The Ghanaian lives across the street.
426,Russian,My friend is Russian.
431,Cape Verde,Cape Verde is an island country off the coast of Africa.
433,Crimean,I used to have a Crimean friend.
434,Afghanistan,There is much controversy about Afghanistan.Such as their culture.
436,Ethiopia,My friend used to live in Ethiopia but now lives in the United States.
437,Ghanaian,My new roommate is Ghanaian.
440,Cameroon,I met someone from Cameroon.
443,Russian,There are a lot of Russians living outside of Russia
444,Ethiopian,She said that we should come out for Ethiopian food.
445,Ethiopia,The exchange student came from Ethiopia.
447,Cameroon,I would love to visit Cameroon someday in my lifetime!
449,Hispanic,I lived in a town with mostly hispanics.
450,Cape Verde,Cape Verde is an African Island
451,Ghanaian,The Ghanaian made his way across the country of Ghana to explore the terrain
457,Afghanistan,I read an article about Afghanistan today in the paper.
458,Russian,The Russian was a spy sent to locate the information.
460,Russian,In New York Brighton Beach is where all the Russians live
461,Ethiopia,Ethiopia has a large population.
462,Crimean,Fine Crimean wines were passed around.
463,Ghanaian,Ghanaian people live in Ghana
466,Crimean,I am uncertain where the Crimean is on the map.
468,Hispanic,The United States has a Hispanic minority.
469,Russian,Russian people use spy tactics for foreign relations.
475,Ethiopian,The Ethiopian boy woke up early in the morning.
476,Afghanistan,My cousin is from Afghanistan
477,Ghanaian,Ghanaian people are very hostile.
478,Afghanistan,Afghanistan is located in Asia
480,Cape Verde,Cape Verde is in Africa.
481,Crimean,He took the Crimean on a date.
484,Cape Verde,My friend just returned from a vacation in Cape Verde.
485,Afghanistan,The recent violence in Afghanistan has gained international attention.
486,Ethiopian,Ethiopian is one of places I've been to.
491,Crimean,The Crimean man was very unpleasant
492,Ethiopian,The Ethiopian man wandered along the lane.
493,Afghanistan,My cousin fought in the war in Afghanistan.
500,Cameroon,I met a man from Cameroon yesterday.
506,Russian,Russians speak the Russian language.
507,Afghanistan,This summer I will visit my uncle in Afghanistan
509,Ethiopian,The Ethiopian is going by.
512,Afghanistan,They heard they would be deployed to Afghanistan.
513,Crimean,The Crimean War is historically well known.
514,Eritrean,The Eritrean people come from nine tribes.
517,Britain,I would not trade him for all the tea in Britain.
518,Eriteria,"Believe it or not, Eriteria (an African country) is full of old Italian cathedrals."
519,Eritrean,The Eritrean sent a mass email to thousands of people
521,Italy,Italian food is at its best in Italy.
522,Syria,She is going to Syria very soon to visit her grandmother.
523,Britain,The best sandwich I had was in Britain
526,Ukrainian,The Ukrainian arranged a meeting.
527,African,The African man was riding the bus.
534,Ukrainian,The doctor is Ukrainian.
535,Iraq,Iraq is geographically larger than Iran.
537,Norway,I met a company of men from Norway
544,Japanese,The Japanese have invented many items of technology
548,Iraq,I visited iraq with my girlfriend
552,Syria,Syria is a well known area nowadays.
554,Columbian,Columbian coffee is in high demand.
555,Persian people,Persian people have great things
556,Spain,Spain is a country in Europe.
557,Ecuador,Ecuador is a beautiful place to live.
559,Bengali,Bengalis are natives of Africa.
560,Norway,This book is from Norway.
561,Sierra Leon,Sierra Leon used to be called Salone.
562,Ukrainian,Her friend is Ukrainian.
563,Syria,He lives in Syria.
564,Saudi Arabian,Saudi Arabian women have limited rights.
568,Ukrainian,The Ukrainian woman smiled up at me.
569,Italy,Italy cuisine has a rich cultural history.
571,African,The African continent has many diverse climates.
572,Arab,He is an Arab from the Middle East.
573,Eritrean,My friend from college is Eritrean.
574,Vietnam,Vietnam was a colony of France.
577,Eritrean,I met a woman who claimed to be a Eritrean.
578,Ecuador,Ecuador is a place in Central America.
579,Norway,Norway is way up north.
581,Italy,Our vacation in Italy was great.
582,Bengali,I met a new person at work from Bengali.
584,Vietnam,Vietnam is an interesting city.
585,Arab,The arab man is walking to work.
589,Eriteria,A man from Eriteria moved into the neighborhood.
590,Britain,Britain has been a cultural influence over the rest of the world for many years.
591,Iraq,The USA has had complicated relations with Iraq.
595,Somalia,Somalia was recently in the news.
596,Arab,I think that guy is an Arab.
600,Jordan,Jordan is a land with culture and resources.
601,Somalia,The temperatures in Somalia are mostly very hot.
605,Iranian,The Iranian people are traditionally Muslim.
610,Norway,For our vacation we will be going to norway
611,Spain,Spain is a fantastic tourist destination.
613,Bengali,Bengali has strong hindi and islamic traditions.
614,Iranian,Iranian people live inside the country of Iran.
616,Syria,Syria is a founding member of the United Nations.
620,Spain,Spain is a beautiful place.
623,Iranian,people from Iran are Iranian
626,Spain,I lived in Spain for a year.
627,Italy,"Italy contains Rome, which contains the Vatican."
631,Lebanon,NIck is from Lebanon.
632,Iranian,My Iranian friend went to the movies this past weekend with his partner.
633,Arab,Today there was an Arab man at the grocery store.
634,Arab,The Arab woman went to the market
635,Eriteria,Eriteria is an obscure country that no one knows about.
638,Ukrainian,I once had a roommate that was Ukrainian.
639,Saudi Arabian,She contacted the Saudi Arabian embassy.
641,Iraq,My daughter's teacher is from Iraq.
647,Spain,Spain has a lot of great architecture.
649,Eritrean,My friend is Eritrean.
651,African,The African continent is the second biggest on earth.
653,Italy,Italy is shaped like a boot.
655,Iraq,The Tigris and Euphrates Rivers are in the country of Iraq.
656,Iranian,Iranians are predominately Muslim
658,Morocco,Morocco is a country in Africa
660,Yemen,yemen is in the dessert
662,Columbian,The Columbian is a paper in Washington.
664,Ukrainian,Ukrainian is in Eastern Europe.
665,Italy,My friend is from Italy and we hang out sometimes.
667,Saudi Arabian,Saudi Arabian is in the middle east
669,Columbian,Columbian people are very hospitable.
672,Bangladesh,Some IT work has been outsourced to workers in Bangladesh.
674,Spain,Spain is in Europe.
676,Bengali,I had never heard Bengali before.
678,African,The African is walking by.
679,African,I love African people.
680,Vietnam,I have only heard things about Vietnam in movies.
683,Columbian,The Columbian lived across from us.
686,Ukrainian,The Ukrainian professor taught philosophy at the University.
687,Norway,My friend is from Norway.
688,Saudi Arabian,People of Saudi Arabian decent have roots in the Middle East.
689,Spain,Spain is in Europe.
691,Saudi Arabian,Saudi Arabian is in the middle east
692,Ukrainian,The food was Ukrainian.
696,Columbian,The Columbian kid took the bus to school.
697,African,african people are proud
702,Morocco,I visited Morocco last year.
704,Sierra Leon,Sierra Leone is in West Africa.
705,Jordan,The man from Jordan was at the supermarket.
708,Norweigan,I talked to a Norweigan man about the Avengers movies.
714,Yemen,The man said he came from Yemen.
715,Saudi Arabian,I know a guy who is Saudi Arabian.
716,Japanese,I had a teacher who was fascinated with the Japanese people.
718,Yemen,I love the food in Yemen
719,Morocco,Morocco would be beautiful to visit this time of year.
720,Morocco,Morocco's culture is largely based on Islam.
721,Lebanon,Lebanon is a country in the Middle East.
722,Spain,Spain has coastlines and different sectors.
723,Iraq,The ethnic group of Iraq is Mesopotamian Arabs.
724,Ecuador,Ecuador was on the way to our destination
725,Italy,Italy was chosen as the place for our honeymoon.
726,Ukrainian,I have a blind date with a Ukrainian woman tonight.
729,African,African clothes are so festive.
730,African,An African is a person who is born in Africa
731,Morocco,Morocco was beautiful in the winter
733,Morocco,Morocco is a country.
735,Ecuador,Ecuador is close to the equator and very hot.
738,Syria,One of Barack Obama's last controversies as president had to do with Syria.
743,Britain,Britain is the home of many rock bands and unique cuisine.
744,Vietnam,The cook was from Vietnam.
750,Persian people,Persian people are always dressed well
751,Iraq,Iraq is a country.
752,Saudi Arabian,Saudi Arabian princes are the wealthiest in the world.
754,Arab,I eat a lot of arab food
755,Jordan,He was born in Jordan thirty years ago.
756,Italy,Italy has many cathedrals.
757,Bangladesh,They are from Bangladesh.
759,Vietnam,Mary is staying in Vietnam.
761,Spain,Spain has a stable economy.
762,Eriteria,Today in class we learned about Eriteria.
763,Britain,Britain has been involved in wars in the past.
764,Bangladesh,I've never been to Bangladesh.
765,Sierra Leon,The newspaper spoke about the Sierra Leon.
767,Sierra Leon,Sierra Leon is located in Africa
768,Italy,My friend studied abroad in Italy.
772,Morocco,I visited Morocco on vacation.
774,African,I would love to go on a safari trip to Africa and become an African.
777,Lebanon,lebanon is a nice place to visit
780,Saudi Arabian,Saudi Arabian people are lavish.
781,Eriteria,Eriteria was colonized by Europeans.
786,Vietnam,Many different people live in Vietnam.
790,Yemen,I hope that the Yemen people are safe from war.
792,Arab,An Arab man attended university in the U.S.
793,Britain,Britain is one of those countries everyone should visit.
794,Eritrean,We once had an Eritrean nanny
797,Ukrainian,The Ukrainian border was busted
801,Bangladesh,My cousin is from Bangladesh.
805,Bengali,I met a Bengali man at the supermarket today.
807,Saudi Arabian,The Saudi Arabian government attended the summit.
808,Italy,Many notable opera singers were born in Italy.
809,African,My friend is African.
810,Italy,Our family friends just moved to Italy.
811,Syria,Lots of refugees from Syria arrived today.
814,Somalia,I learned about Somalia in school today.
815,Syria,There are more displaced people from the troubles in Syria than in any other country in the world
821,Ukrainian,Ukrainian people are very nice to visit.
827,Norway,My relatives come from Norway.
828,Japanese,My boss is Japanese.
831,Iraq,He's from Iraq.
837,Morocco,Morocco is a country.
841,Somalia,Somalia is on the east coast of Africa.
843,Japanese,The Japanese man entered the restaurant.
844,Norweigan,My friend once boarded the Norweigan cruise!
845,Syria,I would never travel to Syria.
849,Britain,Britain is an old empire.
851,Morocco,They got off the plane in Morocco.
853,Saudi Arabian,I have a friend who is Saudi Arabian
858,Japanese,The Japanese have great native foods.
859,African,The African people gathered around the fire.
862,Syria,The article mentioned a traveller from Syria.
866,Yemen,We have learned many things about Yemen in school.
871,Lebanon,I endorse Lebanon.
872,Somalia,I don't know much about Somalia.
875,Britain,A queen is the head of state in Britain.
878,Norweigan,The Norweigan people are kind.
884,Britain,United States is not part of Britain.
886,Norway,I would like to visit Norway some day.
888,Saudi Arabian,The Saudi Arabian visited the casino but saw beggars outside.
889,Eritrean,My best friend is from Eritrean.
894,Lebanon,"Lebanon is one of countries on my list, where I would like to go."
898,Iraq,I'm going to visit Iraq.
901,Norweigan,My sister-in-law is Norweigan.
907,Vietnam,Vietnam is mostly jungle.
908,Morocco,My sister went to Morocco with an overseas program in college.
909,Arab,The students are all Arab.
910,Somalia,I'm thinking of going to Somalia.
911,Yemen,"Yemen is known for its vast, desert landscape and picturesque coastal waterways."
914,Ecuador,I stayed with a family in Ecuador.
916,Vietnam,Vietnam is where one of the major wars took place.
918,Arab,A group of people from the Arab region.
921,Bangladesh,My friend visited Bangladesh last year.
922,Bangladesh,I've never been to Bangladesh
924,Yemen,The small nation of Yemen has been in the news lately.
929,Sierra Leon,They finally arrived in a small town in Sierra Leon.
930,Ecuador,Ecuador has a hot climate all year round.
935,Morocco,I visited Morocco in Africa.
936,African,The African continent is very large and very poor
937,Britain,My cousin just moved to Great Britain.
938,Vietnam,My brother taught in Vietnam.
939,Jordan,Susie's family is from Jordan.
940,Bangladesh,Bangladesh was once part of India.
941,Iranian,We ate at an Iranian restaurant yesterday.
942,Saudi Arabian,Saudi Arabian people live in the Middle East
943,Saudi Arabian,Did he say he was Saudi Arabian?
944,Norweigan,I talked to a man who was Norweigan today.
946,Bangladesh,I took a trip to Bangladesh.
947,Japanese,We have a new Japanese student in our class.
948,African,Many people come from the African continent
950,Eritrean,I met a girl who was Eritrean.
952,Vietnam,My mother went to school with  girl from Vietnam
954,Iraq,The man from Iraq immigrated to the U.S.
955,Bangladesh,The child was from Bangladesh.
956,Saudi Arabian,Saudi Arabian is an oil rich country.
958,Columbian,I went to school with a Columbian man.
959,Norway,My friend is from Norway and I go to visit him sometimes.
963,Vietnam,Vietnam enjoys a long and scenic coastline.
965,Yemen,I went to the Yemen
966,Vietnam,Vietnam has great food
968,Vietnam,My husband served in the Navy and spent time in VietNam.
969,Iraq,Iraq likes to harbor great products in the middle east.
971,Vietnam,Vietnam food is so good to eat.
972,Somalia,My friend is from Somalia and we hang out sometimes.
975,Italy,We went to Italy over the summer.
976,Eriteria,I wonder if any on our flight will be from Eriteria.
977,Syria,The man from Syria helped me with the flat tire.
982,Ecuador,Ecuador has a very high index of poverty.
983,Norweigan,There are many Norweigan men at the bar
986,Arab,The winner of the lottery this year was an Arab.
987,Ukrainian,I met some Ukrainian people at the fair.
988,Saudi Arabian,The Saudi Arabian man had a wife and two kids
989,Arab,The Arab man was counting his coins.
991,Japanese,The Japanese man dressed well.
992,Iraq,Iraq is a country in the Middle East.
994,Eriteria,Their textbook briefly discussed Eriteria.
997,Ukrainian,She is a Ukrainian model.
1000,Britain,I studied in Britain last Summer.
1002,Bangladesh,Bangladesh is a country few people know about.
1004,Japanese,The Japanese woman was sitting in her home.
1006,Somalia,The African country of Somalia intrigued the students.
1009,Lebanon,Lebanon is a torn up country.
1010,Iraq,The older women were from Iraq.
1011,Italy,My cousin is visiting from Italy.
1014,Iranian,Yesterday we ate an Iranian restaurant.
1015,Jordan,Jordan is an Arab kingdom in Western Asia.
1018,Bangladesh,Bangladesh is located next to India
1020,Persian people,Persian people have always enjoyed a rich culture and history.
1021,Lebanon,Lebanon is a hotbed of terrorist activity.
1025,Japanese,Japanese have small eyets
1026,Yemen,yemen is a nice place
1029,Jordan,Jordan is my bestfriend.
1030,Iranian,An Iranian family moved in next door.
1031,Italy,Italy has practiced a particular cuisine for centuries
1032,Iraq,The Iraq War was enforced by Neo-Liberal warmongers
1035,Norweigan,My father is Norweigan because his mother was also.
1036,Morocco,morocco is a nice place to visit
1037,Eriteria,Eriteria is located in East Africa.
1040,Bengali,"As a RA, my floor had two students on it from Bengali"
1042,Eritrean,The Nera people are Eritrean.
1048,Ecuador,I will be attending a business trip to Ecuador.
1051,Saudi Arabian,A Saudi Arabian lives next door.
1053,Italy,I have been to Italy 2 years ago.
1054,Norweigan,Norweigan culture is interesting.
1057,Vietnam,Vietnam has some very nice jungles.
1058,Ecuador,ecuador has soccer players
1060,Morocco,Morocco is located in Northern Africa.
1061,Sierra Leon,Sierra Leon is in Africa.
1063,Norway,My dentist is from Norway.
1067,Jordan,Jordan is an Arab country in Asia.
1068,Ukrainian,Ukrainian women are beautiful.
1074,Eriteria,Very few people have been to Eriteria.
1077,Bengali,I had a teacher that was Bengali.
1078,African,That is a large African swan if I do say so my self.
1080,Sierra Leon,Sierra Leon is located in western africa
1084,Bengali,My roommate is Bengali.
1086,Vietnam,I live in Vietnam.
1088,Bengali,They are Bengali people.
1091,Sierra Leon,Sierra Leon is a great place.
1092,Persian people,Persian people have migrated to the U.S.
1093,Jordan,Jordan has a history of complicated politics.
1094,Eriteria,Asmara is the capital city of Eriteria.
1095,Italy,Italy is a big destination for tourists.
1098,Norway,Norway has many mythological stories.
1102,Arab,My cousin's neighbor is an Arab.
1104,Morocco,Morocco produces a lot of good spices.
1107,Iranian,Iranian is the spoken language of Iran.
1108,Jordan,Jordan used to be in the news all the time.
1109,Bengali,The Bengali tiger is an endangered species.
1112,Vietnam,My little boy is from Vietnam.
1113,Somalia,One of my friends visited Somalia.
1115,Persian people,Persian people often begin working at 17 years old.
1117,Vietnam,Vietnam is in China.
1119,Ecuador,My friend was born in Ecuador.
1120,Persian people,Persian people are nice and they help people.
1123,Yemen,The Yemen man is a smooth talker.
1125,Jordan,I had a person from Jordan in my math class.
1126,Japanese,My best friend is Japanese
1128,Somalia,Somalia is an African nation
1131,African,The African man entered the road.
1135,Jordan,Jordan is where the child is from.
1136,Japanese,My best friend is Japanese.
1141,Somalia,Somalia has had some very hard times in the past.
1142,Britain,He is going to Britain on his honeymoon.
1143,African,The African savanna is hot.
1150,Iranian,There was an Iranian woman in the news last week.
1151,Ecuador,Ecuador is populated by poor people.
1152,Britain,The woman stayed with a host family in Britain.
1153,Ukrainian,The Ukrainian immigrant found his new country cozy.
1155,Yemen,They arrived on the plane from Yemen.
1157,Britain,Britain is a nice place to visit.
1159,Jordan,My friend is from Jordan and we hand out sometimes.
1160,Eriteria,I met a girl from Eriteria.
1162,Iranian,Iranians are suppressed people.
1164,Sierra Leon,Sierra Leon produces a lot of good wealth in Africa mining.
1167,Morocco,I know several cooks from Morocco.
1168,Syria,Syria is in trouble.
1172,Norweigan,The Norweigan people travel all over Europe.
1173,Spain,I'm going to visit Spain.
1178,Syria,Syria has been in the news a great deal.
1180,Lebanon,I would like to visit Lebanon some day.
1182,Somalia,Somalia borders Ethiopia and Kenya.
1183,Lebanon,Lebanon is a small country
1186,African,His employee is African
1189,Persian people,There are many Persian people in New York.
1193,Italy,My honeymoon is going to be in Italy.
1195,African,A lot of my coworkers are African.
1199,Norway,Norway is a popular travel destination
1205,Britain,Britain is in Europe.
1206,Columbian,The Columbian knew his way around.
1207,Sierra Leon,Sierra Leon has an amazing coastline
1208,Iranian,Iranian food is supposed to be fantastic.
1210,Britain,Britain has relations with America.
1211,Saudi Arabian,I heard another passenger on our plane is Saudi Arabian.
1212,Sierra Leon,Sierra Leon is a beautiful vacation destination.
1213,Italy,Italy has some of the best pasta in the world.
1214,Britain,Britain is an island nation
1215,Somalia,Somalia is located in Africa
1219,Japanese,I am taking classes to learn Japanese.
1220,Eriteria,Most people have never heard of Eriteria.
1222,Sierra Leon,I heard her teacher is from Sierra Leon.
1224,Arab,The Arab children learned a lot from their parents.
1225,Britain,A MAN FRIM BRITAIN WAS IN THE SHOP.
1227,Norway,"Norway is a small country, near Denmark."
1228,Somalia,Somalia is a very dangerous place to visit.
1230,Jordan,They speak Arabic in Jordan.
1233,Eritrean,Our cab driver was Eritrean.
1235,Ecuador,My new teacher is from Ecuador.
1238,Vietnam,I have been to Vietnam last year.
1245,Iranian,The Iranian man ran for city council.
1246,Bangladesh,Bangladesh is a country
1247,Eritrean,Eritrean people live on Eritrea which is home to the Hanish Islands.
1249,Ecuador,The woman who lives in the house on the corner is from Ecuador.
1250,Morocco,We are planning a vacation to Morocco.
1252,Iranian,The Iranian came to class.
1254,Persian people,Persian people are from Iran
1256,Columbian,The coffee he drank was Columbian.
1259,Japanese,"I absolutely adore Japanese food, despite the fact that it uses sesame oil a lot, and I'm allergic!"
1260,Lebanon,Lebanon is a country next to Israel.
1261,Columbian,Columbian people live in south america.
1262,Norweigan,Norweigan food relies heavily on seafood.
1265,Iranian,The Iranian woman is going grocery shopping.
1273,Saudi Arabian,The Saudi Arabian man entered the restaurant.
1274,Iraq,He left Iraq at a young age.
